model,series,refrigerant_compatibility,medium_temp_min,medium_temp_max,ambient_temp_min,ambient_temp_max,max_working_pressure,cv_value,max_op_pressure_diff_h_l,max_op_pressure_diff_l_h,pipe_size,body_material,application_type,full_or_reduced_bore,has_charging_connector,certification,electrical_params,remark
EBV03H001,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,4,3,3,3/8,-,-,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""2800步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV03H002,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,6,3,3,1/2,-,-,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""2800步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV05H050,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,10,3,3,5/8,-,适用无油系统,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""4000步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV05H051,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,10,3,3,3/4,-,适用无油系统,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""4000步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV07H-002,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,20,1.5,0.5,7/8,-,-,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""2800步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV07H-003,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,20,1.5,0.5,1-1/8,-,-,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""2800步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV07H-006,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,20,3,1.5,7/8,-,-,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""2800步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV09H008,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,34,1.0,-,1-1/8,-,适用无油系统,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""4000步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV09H009,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,34,1.0,-,2-1/8,-,适用无油系统,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""4000步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
EBV09H010,EBV,"HCFC,HFC（R134a,R404A,R407C,R410A,R32,R454B 等）",-40,120,-30,55,4.3,34,1.0,-,1-5/8,-,适用无油系统,全通径,0,-,"{""驱动方式"": ""2-2相励磁，单极/双极驱动可选"", ""励磁速度"": ""200pps（外置线圈）/100pps（EBV09内置电机）"", ""全开脉冲"": ""4000步"", ""结束励磁模式保持"": ""0.1-1.0s"", ""线圈绝缘等级"": ""E"", ""防护等级"": ""IP67"", ""线圈型号"": ""PQ-M10012-001059(单极,XHP-5,引线700) / PQ-M10012-001016(单极,XHP-5,引线1500) / PQ-M10012-001002(单极,XHP-5,引线2000,适用EBV07/EBV09) / PQ-M35012-001003(双极,引线6000)""}",双向通断+流量调节；缓慢开启/关闭避免液锤与冲击噪音；节能（仅动作过程耗能）；全通径阀芯球流量大压损小；低内漏，全闭可当截断阀；可替代压力调节阀/电子膨胀阀/电磁阀；R32系统可用作安全阀（泄漏即截断）；安装：线圈朝上、阀体中轴线垂直偏差±15°；来源：《三花商用出品-流体控制部件》EBV系列冷媒二通电动球阀
