model,series,refrigerant_compatibility,medium_temp_min,medium_temp_max,ambient_temp_min,ambient_temp_max,max_working_pressure,max_working_pressure_diff,kv_value,pipe_size,full_open_pulses,body_shape,has_sight_glass,oil_system_compatibility,certification,remark
VPF12.5H52,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,0.8,5/8×5/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
VPF12.5H53,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,0.8,7/8×7/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
VPF12.5H58,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,0.8,5/8×5/8,2600,L型,0,有油,"UL&TUV,PED,EAC",
VPF12.5H59,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,0.8,7/8×7/8,2600,L型,0,有油,"UL&TUV,PED,EAC",
VPF25H52,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,1.3,5/8×5/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
VPF25H53,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,1.3,7/8×7/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
VPF25H58,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,1.3,5/8×5/8,2600,L型,0,有油,"UL&TUV,PED,EAC",
VPF25H59,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,1.3,7/8×7/8,2600,L型,0,有油,"UL&TUV,PED,EAC",
VPF50H01,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,7/8×1-1/8,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H02,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,1-1/8×1-1/8,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H03,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,1-1/8×1-3/8,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H04,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,-,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H06,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,22×28mm,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H07,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,28×28mm,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H08,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,28×35mm,2600,直通型,1,有油,"UL&TUV,PED,EAC",
VPF50H51,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,7/8×7/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
VPF50H53,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,1-1/8×1-1/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
VPF50H54,VPF,"R22,R134a,R404A,R407C,R410A,R507,R1234ze",-40,90,-40,60,5,3.9,2.4,1-1/8×1-3/8,2600,直通型,0,有油,"UL&TUV,PED,EAC",
