model,series,refrigerant_compatibility,medium_temp_min,medium_temp_max,ambient_temp_min,ambient_temp_max,max_working_pressure,pipe_size,max_op_pressure_diff,min_op_pressure_diff,frequency_type,certification,remark
SHF-3H-12U-P-A,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,1/4×5/16,3.1,0.1,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF-4H-23U-P-A,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,5/16×3/8,3.1,0.1,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF-7H-34U-P-A,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,3/8×1/2,3.1,0.1,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-11H-45D1-L2,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,1/2×5/8,3.1,0.1,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF-14A-46,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1/2×3/4,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF-20D-46-01,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1/2×3/4,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-20D-46-02,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1/2×3/4,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-20D-46-03,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,1/2×3/4,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-20D-46-04,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,1/2×3/4,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-67-01,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,3/4×7/8,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-67-04,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,3/4×7/8,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-67-05,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,3/4×7/8,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-67-06,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,3/4×7/8,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-50-79-03,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,7/8×1-1/8,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-50-79-04,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,7/8×1-1/8,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-70-810-30,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1×1-1/4,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-70-810-20,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1×1-1/4,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-100-1012,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1-1/4×1-1/2,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-140-1214,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1-1/2×1-3/4,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-175-1217,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1-1/2×2-1/8,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-210-1321,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1-5/8×2-5/8,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-350-1721,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,2-1/8×2-5/8,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-420-2125,SHF,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,2-5/8×3-1/8,3.1,0.3,通用,"UL6CUL,VDE,CQC,LVD/PED",
