model,series,refrigerant_compatibility,medium_temp_min,medium_temp_max,ambient_temp_min,ambient_temp_max,max_working_pressure,pipe_size,max_op_pressure_diff,min_op_pressure_diff,frequency_type,certification,remark
SHF(G)-4H-23U-A,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,1/4×3/8,3.1,0.25,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(G)-7H-34U-A,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,3/8×1/2,3.1,0.25,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF(G)-13H-45,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,120,-30,55,4.2,1/2×5/8,3.1,0.25,通用,"UL6CUL,VDE,CQC,LVD/PED",
SHF-20D-46G31,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1/2×3/4,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-20D-46G30,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1/2×3/4,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-67G49,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,3/4×7/8,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-67G48,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,3/4×7/8,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-79G47,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,7/8×1-1/8,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-35B-79G48,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,7/8×1-1/8,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-50-79G45,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,7/8×1-1/8,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF-50-79G44,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,7/8×1-1/8,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-70-810G35,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1×1-1/4,3.1,0.3,定频,"UL6CUL,VDE,CQC,LVD/PED",
SHF(L)-70-810G34,SHF-G,"R22,R134a,R404A,R407C,R410A,R454B,R507,R1234yf,R1234ze(E),R32,R290",-30,130,-30,55,4.2,1×1-1/4,3.1,0.3,变频,"UL6CUL,VDE,CQC,LVD/PED"
