model,series,refrigerant_compatibility,medium_temp_min,medium_temp_max,ambient_temp_min,ambient_temp_max,max_working_pressure,kv_value,max_op_pressure_diff_gas,max_op_pressure_diff_ac,max_op_pressure_diff_dc,min_op_pressure_diff,actuation_type,valve_type,pipe_size,coil_model,certification,remark
MDF-A03-2L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.16,3.1,3.1,-,0,直动式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-3L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.23,3.1,3.1,-,0,直动式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-3L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.23,3.1,3.1,-,0,直动式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-6L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-6L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-10L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-10L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-15L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-15L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-15L051,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-15L052,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-6L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-6L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-10L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-10L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-15L002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-15L004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-15L051,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A02-15L052,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",螺纹式
MDF-A03-2H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.16,3.1,3.1,-,0,直动式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-2H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.16,3.1,3.1,-,0,直动式,常闭,6mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-3H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.23,3.1,3.1,-,0,直动式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-3H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.23,3.1,3.1,-,0,直动式,常闭,6mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-3H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.23,3.1,3.1,-,0,直动式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-3H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.23,3.1,3.1,-,0,直动式,常闭,10mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-6H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-6H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,3.1,3.1,-,0.005,膜片先导式,常闭,10mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-6H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-6H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,3.1,3.1,-,0.005,膜片先导式,常闭,12mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-10H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-10H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,3.1,3.1,-,0.005,膜片先导式,常闭,12mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-10H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-15H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-15H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-15H051,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-15H052,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,3.1,3.1,-,0.005,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-20H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,5,3.1,3.1,-,0.02,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-20H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,5,3.1,3.1,-,0.02,膜片先导式,常闭,2001/1/8,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-20H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,5,3.1,3.1,-,0.02,膜片先导式,常闭,28mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-22H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,3.1,3.1,-,0.02,膜片先导式,常闭,-,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-22H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,3.1,3.1,-,0.02,膜片先导式,常闭,2001/1/8,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-A03-22H012,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,3.1,3.1,-,0.02,膜片先导式,常闭,28mm,MQ-A03,"TUV,CQC,LVD/PED",焊接式
